Year,Country / territory of asylum/residence,Origin,Population type,Value
2017,Aruba,Cuba,Refugees (incl. refugee-like situations),*
2017,Afghanistan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),34
2017,Afghanistan,Iraq,Refugees (incl. refugee-like situations),*
2017,Afghanistan,Pakistan,Refugees (incl. refugee-like situations),75893
2017,Angola,Burundi,Refugees (incl. refugee-like situations),9
2017,Angola,Central African Rep.,Refugees (incl. refugee-like situations),9
2017,Angola,Côte d'Ivoire,Refugees (incl. refugee-like situations),510
2017,Angola,Cameroon,Refugees (incl. refugee-like situations),*
2017,Angola,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),38516
2017,Angola,Congo,Refugees (incl. refugee-like situations),*
2017,Angola,Algeria,Refugees (incl. refugee-like situations),*
2017,Angola,Eritrea,Refugees (incl. refugee-like situations),34
2017,Angola,Western Sahara,Refugees (incl. refugee-like situations),18
2017,Angola,Ethiopia,Refugees (incl. refugee-like situations),*
2017,Angola,Guinea,Refugees (incl. refugee-like situations),107
2017,Angola,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Angola,Haiti,Refugees (incl. refugee-like situations),*
2017,Angola,Liberia,Refugees (incl. refugee-like situations),155
2017,Angola,Libya,Refugees (incl. refugee-like situations),*
2017,Angola,Mali,Refugees (incl. refugee-like situations),*
2017,Angola,Mauritania,Refugees (incl. refugee-like situations),306
2017,Angola,Rwanda,Refugees (incl. refugee-like situations),273
2017,Angola,Sudan,Refugees (incl. refugee-like situations),313
2017,Angola,Sierra Leone,Refugees (incl. refugee-like situations),374
2017,Angola,Somalia,Refugees (incl. refugee-like situations),288
2017,Angola,Chad,Refugees (incl. refugee-like situations),184
2017,Angola,Togo,Refugees (incl. refugee-like situations),*
2017,Angola,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Angola,Uganda,Refugees (incl. refugee-like situations),6
2017,Angola,South Africa,Refugees (incl. refugee-like situations),*
2017,Angola,Zambia,Refugees (incl. refugee-like situations),7
